has_card,jail_turns,cash,rival_houses,pay_bail_legal,card_legal,n_legal,choice,leaves_jail,seed
True,3,100,4,True,True,25,END_TURN,False,20250811
True,3,100,5,True,True,25,END_TURN,False,20250811
True,3,200,0,True,True,31,END_TURN,False,20250811
True,3,200,2,True,True,25,END_TURN,False,20250811
True,3,200,4,True,True,25,END_TURN,False,20250811
True,3,200,5,True,True,25,END_TURN,False,20250811
True,3,260,0,True,True,34,END_TURN,False,20250811
True,3,260,2,True,True,25,END_TURN,False,20250811
True,3,260,4,True,True,25,END_TURN,False,20250811
True,3,260,5,True,True,25,END_TURN,False,20250811
True,3,400,0,True,True,40,END_TURN,False,20250811
True,3,400,2,True,True,25,END_TURN,False,20250811
True,3,400,4,True,True,25,END_TURN,False,20250811
True,3,400,5,True,True,25,END_TURN,False,20250811
True,3,800,0,True,True,40,END_TURN,False,20250811
True,3,800,2,True,True,25,END_TURN,False,20250811
True,3,800,4,True,True,25,END_TURN,False,20250811
True,3,800,5,True,True,25,END_TURN,False,20250811
True,3,1500,0,True,True,40,END_TURN,False,20250811
True,3,1500,2,True,True,25,END_TURN,False,20250811
True,3,1500,4,True,True,25,END_TURN,False,20250811
True,3,1500,5,True,True,25,END_TURN,False,20250811
